"text",label
"How do i stop the background service?",unsure
"Disable the test service temporarily.",unsure
"I plan to keep the subscription.",keep
"How do i end the system service?",unsure
"Restart the windows service.",unsure
"Close the pipeline.",unsure
"Please don't stop the service.",keep
"How do i unsubscribe from the subscription?",churn
"Do not terminate my service.",keep
"Close our service before renewal.",churn
"I need to terminate my subscription due to budget cuts.",churn
"I need to cancel the account because I no longer need it.",churn
"Close my membership immediately.",churn
"I need to terminate my membership because I no longer need it.",churn
"Cancel my membership this week.",churn
"Unsubscribe me from the subscription because company policy changed.",churn
"Stop the server service.",unsure
"I cannot log in to the app.",unsure
"Please terminate my account.",churn
"How can i stop background updates?",unsure
"I'd like to unsubscribe my service.",churn
"End our account before renewal.",churn
"Keep my plan active.",keep
"Close the subscription.",churn
"Can you close our subscription?",churn
"Cancel our service this week.",churn
"Disable the server service temporarily.",unsure
"Please keep my service active.",keep
"Close the task.",unsure
"End the system service.",unsure
"Stop our account.",churn
"Unsubscribe me from our membership.",churn
"End my service.",churn
"Terminate our service before renewal.",churn
"Please close the preview tab.",unsure
"Can you cancel the membership?",churn
"End the instance.",unsure
"Please close our plan.",churn
"How do i add a payment method?",unsure
"I need to close the plan because company policy changed.",churn
"Close the instance.",unsure
"How do i close our plan?",churn
"Stop the membership today.",churn
"How do i close the modal?",unsure
"Please don't unsubscribe me from the membership.",keep
"Close our account before renewal.",churn
"How do i close the pod?",unsure
"How do i stop the instance?",unsure
"Stop the pod.",unsure
"Please keep the plan open and confirm.",keep
"I want to keep my subscription.",keep
"I need to stop our membership because company policy changed.",churn
"Can you stop my plan?",churn
"Unsubscribe me from our plan because company policy changed.",churn
"Please stop my membership.",churn
"Can you cancel our service?",churn
"How do i close the application?",unsure
"Stop the database service only on the test machine.",unsure
"Can you stop the subscription?",churn
"I need to cancel my plan because I switched providers.",churn
"Please cancel the account.",churn
"How do i cancel our subscription?",churn
"How do i stop the thread?",unsure
"End the build.",unsure
"Stop our account immediately.",churn
"Please stop my subscription.",churn
"How do i close the dialog?",unsure
"Stop my service before renewal.",churn
"Close my account.",churn
"I need to cancel the membership because I switched providers.",churn
"How do i close the session?",unsure
"How do i end the database service?",unsure
"Can you terminate my membership?",churn
"End my membership.",churn
"Unsubscribe me from my service because I no longer need it.",churn
"How do i close our service?",churn
"I need to cancel my account due to budget cuts.",churn
"How do i end the container?",unsure
"Stop my membership.",churn
"Stop the process.",unsure
"Keep my subscription active.",keep
"Do not close my account.",keep
"Stop the container.",unsure
"Please close the service.",churn
"Terminate our subscription.",churn
"Can you close my subscription?",churn
"Please continue the plan.",keep
"Close the dialog.",unsure
"Can you cancel the subscription?",churn
"Close my service this week.",churn
"Can you cancel my service?",churn
"Please terminate the account.",churn
"Restart the local service.",unsure
"Please renew my membership.",keep
"Cancel my account.",churn
"Unsubscribe me from my account.",churn
"How do i update my billing address?",unsure
"How do i close our membership?",churn
"How do i cancel my membership?",churn
"Please terminate our membership.",churn
"How do i end the deployment?",unsure
"Close my subscription immediately.",churn
"Stop the connection.",unsure
"End the windows service.",unsure
"I need to end my plan due to budget cuts.",churn
"How do i stop the dev service?",unsure
"Close the modal.",unsure
"Do not end my membership.",keep
"How do i stop the account?",churn
"Stop the vm.",unsure
"End the session.",unsure
"End my subscription today.",churn
"Unsubscribe me from my service.",churn
"Keep my plan and renew it automatically.",keep
"How do i stop the daemon?",unsure
"Restart the dev service.",unsure
"How do i end the daemon?",unsure
"Please terminate our subscription.",churn
"Close the session.",unsure
"Cancel the account.",churn
"I need to terminate the service due to budget cuts.",churn
"I need to end my subscription because I switched providers.",churn
"Unsubscribe me from the service this week.",churn
"Close the connection.",unsure
"Unsubscribe me from my account immediately.",churn
"Please don't cancel the subscription.",keep
"Please cancel my membership.",churn
"Do not cancel my plan.",keep
"How do i unsubscribe from my membership?",churn
"I would like to end my account.",churn
"Can you end our service?",churn
"I prefer to keep my plan as is.",keep
"Disable the background service temporarily.",unsure
"Restart the server service.",unsure
"How do i end the subscription?",churn
"Unsubscribe me from our membership because company policy changed.",churn
"Please end the membership.",churn
"Keep the account open.",keep
"Unsubscribe me from our plan.",churn
"Terminate my service.",churn
"Restart the system service.",unsure
"How do i stop the windows service?",unsure
"Stop the test service.",unsure
"End the daemon.",unsure
"How do i close the job?",unsure
"Please keep the subscription open and confirm.",keep
"Please unsubscribe me from the service.",churn
"Close the membership.",churn
"Please unsubscribe me from our plan.",churn
"End our service today.",churn
"Unsubscribe me from my subscription because company policy changed.",churn
"Can you terminate my subscription?",churn
"Please unsubscribe me from our subscription immediately.",churn
"Where do i close the app window on mac?",unsure
"Stop the windows service.",unsure
"End the server service.",unsure
"How do i stop the connection?",unsure
"Please don't terminate the plan.",keep
"Stop the thread.",unsure
"I want to keep my membership.",keep
"Close the application.",unsure
"How do i unsubscribe from my plan?",churn
"Please don't close the account.",keep
"Please don't terminate the membership.",keep
"End the account today.",churn
"Close our service.",churn
"I need to end our service because company policy changed.",churn
"How do i terminate our subscription?",churn
"I want to end my subscription.",churn
"How do i stop the subscription?",churn
"Unsubscribe me from my service today.",churn
"Please don't close the plan.",keep
"No changes; keep the subscription.",keep
"Stop the task.",unsure
"I need to close the membership because I switched providers.",churn
"Please close the membership.",churn
"Please don't cancel the account.",keep
"I need to cancel the service because I switched providers.",churn
"Stop account.",churn
"Do not unsubscribe me from my plan.",keep
"Please unsubscribe me from our service immediately.",churn
"Stop the build.",unsure
"How do i end my account?",churn
"Can you cancel our account?",churn
"Do not unsubscribe me from my subscription.",keep
"Please don't end the subscription.",keep
"Stop the instance.",unsure
"Do not cancel my membership.",keep
"Keep the membership open.",keep
"Can you cancel my subscription?",churn
"Terminate membership.",churn
"How do i close the popup?",unsure
"No changes; keep the service.",keep
"I would like to unsubscribe my account.",churn
"Unsubscribe me from the service.",churn
"Can you stop our account?",churn
"Please terminate the membership.",churn
"Keep the service open.",keep
"Please keep my membership active.",keep
"Please don't terminate the subscription.",keep
"Terminate my plan today.",churn
"Do not end my subscription.",keep
"How do i close the preview?",unsure
"How do i cancel our membership?",churn
"Cancel my plan immediately.",churn
"Please don't terminate the account.",keep
"How do i close the pipeline?",unsure
"Can you end the subscription?",churn
"End service.",churn
"How do i end the server service?",unsure
"How do i stop the session?",unsure
"How do i stop the test service?",unsure
"How do i stop the plan?",churn
"Please end my membership.",churn
"Do not end my plan.",keep
"I need to terminate the membership because I switched providers.",churn
"I need to stop our service because I no longer need it.",churn
"How do i end the account?",churn
"How do i end my subscription?",churn
"How do i terminate my plan?",churn
"I prefer to keep my account as is.",keep
"Please close my account.",churn
"How do i end the build?",unsure
"Can you cancel our subscription?",churn
"Stop my plan today.",churn
"I need to terminate the subscription because I no longer need it.",churn
"Terminate the subscription before renewal.",churn
"Please unsubscribe me from the plan today.",churn
"Cancel our plan.",churn
"Can you terminate the plan?",churn
"No changes; keep the account.",keep
"How do i stop the container?",unsure
"How do i close the instance?",unsure
"How do i stop my subscription?",churn
"I need to stop my subscription because I no longer need it.",churn
"How do i close the window?",unsure
"I need to stop my account due to budget cuts.",churn
"Can you close my service?",churn
"Stop my subscription today.",churn
"How do i unsubscribe from our plan?",churn
"How do i end the local service?",unsure
"Can you terminate my plan?",churn
"Keep the subscription open.",keep
"Can you terminate our membership?",churn
"How do i stop the server service?",unsure
"Please don't end the account.",keep
"End the background service.",unsure
"How do i stop the local service?",unsure
"Cancel the subscription.",churn
"Unsubscribe me from the account today.",churn
"How do i close the editor?",unsure
"Please don't cancel the membership.",keep
"Terminate the plan.",churn
"Cancel the service.",churn
"How do i end the thread?",unsure
"End our subscription.",churn
"How do i end the debug session?",unsure
"Terminate our service.",churn
"How do i close the vm?",unsure
"Keep my subscription and renew it automatically.",keep
"End the pod.",unsure
"End the subscription.",churn
"Do not cancel my account.",keep
"End the task.",unsure
"Close subscription.",churn
"I need to terminate my plan because I switched providers.",churn
"Do not cancel my service.",keep
"Please stop our service.",churn
"Can you terminate our service?",churn
"Terminate my plan.",churn
"Unsubscribe me from the plan.",churn
"Terminate our plan.",churn
"Close the order summary modal.",unsure
"Can you close my account?",churn
"Terminate the account.",churn
"How do i end the connection?",unsure
"Unsubscribe me from my plan.",churn
"Unsubscribe me from the membership.",churn
"Please stop the account.",churn
"Stop the account.",churn
"Please don't unsubscribe me from the plan.",keep
"Keep my membership active.",keep
"Restart the test service.",unsure
"Close membership.",churn
"I need to stop our subscription because company policy changed.",churn
"I need to close our membership because company policy changed.",churn
"Close the plan this week.",churn
"How do i close the connection?",unsure
"Close my membership.",churn
"Please continue my plan.",keep
"Please don't unsubscribe me from the service.",keep
"Unsubscribe me from the subscription immediately.",churn
"How do i unsubscribe from my subscription?",churn
"Unsubscribe me from our subscription today.",churn
"End the local service.",unsure
"Please unsubscribe me from my service.",churn
"Close the editor.",unsure
"Can you end the account?",churn
"I would like to stop my account.",churn
"Disable the system service temporarily.",unsure
"Please end our account.",churn
"Close the build.",unsure
"Unsubscribe me from the membership immediately.",churn
"I plan to keep the membership.",keep
"Keep the plan open.",keep
"End the subscription this week.",churn
"Please don't unsubscribe me from the account.",keep
"I need to stop the membership because I no longer need it.",churn
"End the upload and retry.",unsure
"Please don't cancel the plan.",keep
"End my plan.",churn
"Close the deployment.",unsure
"Can you end the plan?",churn
"I need to end the membership due to budget cuts.",churn
"Close our plan before renewal.",churn
"Can you end my membership?",churn
"Please continue my service.",keep
"Close the popup.",unsure
"Unsubscribe me from my subscription.",churn
"Please keep my plan active.",keep
"Please unsubscribe me from my account.",churn
"Keep my account and renew it automatically.",keep
"Unsubscribe me from our service.",churn
"How do i stop the database service?",unsure
"Terminate the membership.",churn
